review,aspect_category,sentiment
"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",FOOD#STYLE_OPTIONS,positive
"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",FOOD#QUALITY,positive
And evaluated on those terms Pastis is simply wonderful.,RESTAURANT#GENERAL,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,FOOD#QUALITY,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,AMBIENCE#GENERAL,positive
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,FOOD#QUALITY,negative
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,FOOD#QUALITY,positive
My friend got the mushroom pizza which tasted better.,FOOD#QUALITY,positive
The sangria was pretty tasty and good on a hot muggy day.,DRINKS#QUALITY,positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,RESTAURANT#MISCELLANEOUS,neutral
Overall I would recommend it and go back again.,RESTAURANT#GENERAL,positive
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),,
I started out with a Bombay beer which was big enough for two.,DRINKS#STYLE_OPTIONS,positive
For dinner I had the chicken tikka-masala and some garlic naan.,,
MMmmm... it was delicious.,FOOD#QUALITY,positive
"Service was slow, but the people were friendly.",SERVICE#GENERAL,negative
"Service was slow, but the people were friendly.",SERVICE#GENERAL,positive
It's a nice place to relax and have conversation.,AMBIENCE#GENERAL,positive
I can't wait to go back.,RESTAURANT#GENERAL,positive
We have lived in Chelsea for two years and have never noticed this restaurant.,,
The food is authentic Italian - delicious!,FOOD#QUALITY,positive
"Pizza is terrific, as is homemade pasta.",FOOD#QUALITY,positive
"Pizza is terrific, as is homemade pasta.",FOOD#QUALITY,positive
"Ambience is delightful, service impeccable.",AMBIENCE#GENERAL,positive
"Ambience is delightful, service impeccable.",SERVICE#GENERAL,positive
I'm still mad that i had to pay for lousy food.,FOOD#QUALITY,negative
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,FOOD#QUALITY,negative
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,FOOD#QUALITY,negative
Service was also horrible and the ambience is not that great.,SERVICE#GENERAL,negative
Service was also horrible and the ambience is not that great.,AMBIENCE#GENERAL,negative
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,RESTAURANT#MISCELLANEOUS,negative
I go and eat out at many different restaurants and this is one place you have go and try.,RESTAURANT#GENERAL,positive
This is my first time writing a review for a restaurant because the food and service was excellent.,FOOD#QUALITY,positive
This is my first time writing a review for a restaurant because the food and service was excellent.,SERVICE#GENERAL,positive
The filet mignon dish was superb!,FOOD#QUALITY,positive
I would defiantly come back here again as one of my top choices.,RESTAURANT#GENERAL,positive
It's a small cute restaurant.,AMBIENCE#GENERAL,positive
I absolutely love this place!!!,RESTAURANT#GENERAL,positive
"From the street it looks very hidden, and is actually an old warehouse.",,
"I like the ambience, it's very dark and original.",AMBIENCE#GENERAL,positive
I came here for my friend's birthday and keep coming back ever since.,,
The sushi is amazing!!!,FOOD#QUALITY,positive
And amazingly cheap.,FOOD#PRICES,positive
Big thumbs up!,RESTAURANT#GENERAL,positive
Very affordable and excellent ambient!,AMBIENCE#GENERAL,positive
Very affordable and excellent ambient!,RESTAURANT#PRICES,positive
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,FOOD#QUALITY,negative
We were very disappointed.,FOOD#QUALITY,negative
We won't go to this place again for a good meal.,FOOD#QUALITY,negative
"However, I think this place is a good hang out spot.",AMBIENCE#GENERAL,positive
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",,
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,RESTAURANT#GENERAL,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,FOOD#QUALITY,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,DRINKS#QUALITY,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,SERVICE#GENERAL,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,AMBIENCE#GENERAL,positive
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,AMBIENCE#GENERAL,positive
"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.",RESTAURANT#MISCELLANEOUS,positive
Check this place out!,RESTAURANT#GENERAL,positive
HIGHLY RECOMMENDED!!!!!,RESTAURANT#GENERAL,positive
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",AMBIENCE#GENERAL,negative
"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",AMBIENCE#GENERAL,negative
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",AMBIENCE#GENERAL,negative
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",FOOD#STYLE_OPTIONS,neutral
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",DRINKS#PRICES,negative
Slightly above average wines start at $70+ with only one selection listed at $30+.,DRINKS#QUALITY,negative
Slightly above average wines start at $70+ with only one selection listed at $30+.,DRINKS#PRICES,negative
Service is not what one would expect from a joint in this price category.,SERVICE#GENERAL,negative
"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc....",SERVICE#GENERAL,negative
Somehow working the italian charm with constant mille grazie does not constitute proper service.,SERVICE#GENERAL,negative
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",FOOD#QUALITY,positive
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",RESTAURANT#GENERAL,negative
"To celebrate a birthday, three of us went to Mare anticipating great food.",,
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,FOOD#QUALITY,negative
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,FOOD#QUALITY,negative
Fish was overdone.,FOOD#QUALITY,negative
"Cute place, nice wait staff but would never go there again.",SERVICE#GENERAL,positive
"Cute place, nice wait staff but would never go there again.",AMBIENCE#GENERAL,positive
"Cute place, nice wait staff but would never go there again.",RESTAURANT#GENERAL,negative
Someone else recommended the dessert - we also left that.,FOOD#QUALITY,negative
One of us actually liked the expresso - that's it.,DRINKS#QUALITY,positive
"Skip this restaurant, it's a big disappointment.",RESTAURANT#GENERAL,negative
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,RESTAURANT#GENERAL,positive
I've never had bad service and the fish is fresh and delicious.,SERVICE#GENERAL,positive
I've never had bad service and the fish is fresh and delicious.,FOOD#QUALITY,positive
Their tuna tartar appetizer is to die for.,FOOD#QUALITY,positive
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",FOOD#QUALITY,positive
It is simply amazing.,FOOD#QUALITY,positive
The place is so cool and the service is prompt and curtious.,SERVICE#GENERAL,positive
The place is so cool and the service is prompt and curtious.,AMBIENCE#GENERAL,positive
I highly recommend to anyone to give this place a try.,RESTAURANT#GENERAL,positive
You will find yourself returning quite often.,RESTAURANT#GENERAL,positive
P.S. Please don't tell anyone in my family i eat there.,,
LOL,,
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,FOOD#QUALITY,positive
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,SERVICE#GENERAL,positive
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,AMBIENCE#GENERAL,positive
No gimmicks here -- the food speaks for itself in its freshness and preparation.,FOOD#QUALITY,positive
The dining room is quietly elegant with no music to shout over -- how refreshing!,AMBIENCE#GENERAL,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",SERVICE#GENERAL,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",SERVICE#GENERAL,positive
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",FOOD#QUALITY,positive
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",AMBIENCE#GENERAL,positive
Beautiful experience.,RESTAURANT#GENERAL,positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,LOCATION#GENERAL,positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,SERVICE#GENERAL,positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,AMBIENCE#GENERAL,positive
The staff offers impeccable service.,SERVICE#GENERAL,positive
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,FOOD#STYLE_OPTIONS,positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,FOOD#QUALITY,positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,FOOD#QUALITY,positive
I had Filet Mignon with garlic mash.,,
It was divine melts in your mouth.,FOOD#QUALITY,positive
My boyfriend had Prime Rib it was good .,FOOD#QUALITY,positive
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough.,DRINKS#STYLE_OPTIONS,positive
We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it.,,
It's cuz it's so good you need to taste it!!!,FOOD#QUALITY,positive
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,RESTAURANT#GENERAL,positive
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,FOOD#QUALITY,positive
If you like spicy food get the chicken vindaloo.,FOOD#QUALITY,positive
It's very spicy but not offensive.,FOOD#QUALITY,positive
We will definitely go back.,RESTAURANT#GENERAL,positive
Go to Volare for 1st class service and terrific food.,SERVICE#GENERAL,positive
Go to Volare for 1st class service and terrific food.,FOOD#QUALITY,positive
The portions are large and the servers always surprise us with a different starter.,FOOD#STYLE_OPTIONS,positive
The portions are large and the servers always surprise us with a different starter.,SERVICE#GENERAL,positive
The wine list is excellent.,DRINKS#STYLE_OPTIONS,positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,DRINKS#STYLE_OPTIONS,positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",SERVICE#GENERAL,positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",AMBIENCE#GENERAL,negative
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",RESTAURANT#MISCELLANEOUS,positive
People dress in suits or evening gowns as well as shirts jeans.,,
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,negative
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#QUALITY,positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,SERVICE#GENERAL,positive
"Recommendations, of course, are required!",,
Please be aware that it's CASH or AMEX only!,RESTAURANT#MISCELLANEOUS,neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,negative
The menu is very limited - i think we counted 4 or 5 entrees.,FOOD#STYLE_OPTIONS,negative
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",FOOD#QUALITY,negative
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,neutral
Problem is nothing at Prune is particularly memorable.,RESTAURANT#GENERAL,negative
No plans to return anytime soon.,RESTAURANT#GENERAL,negative
This place is so much fun.,AMBIENCE#GENERAL,positive
Our family never expected such incredible entertainment in a restaurant.,RESTAURANT#GENERAL,positive
This place must have cost the owners afortune to build.,,
I think the stuff was better than Disney.,,
Our food was great too!,FOOD#QUALITY,positive
And really large portions.,FOOD#STYLE_OPTIONS,positive
The staff was the friendliest that have seen in New York.,SERVICE#GENERAL,positive
We will go back every time we are in the City.,RESTAURANT#GENERAL,positive
If you want something really different than try Jekyll and Hyde.,RESTAURANT#GENERAL,positive
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,AMBIENCE#GENERAL,positive
The food was pretty tradional but it was hot and good with large portions.,FOOD#QUALITY,positive
The food was pretty tradional but it was hot and good with large portions.,FOOD#STYLE_OPTIONS,positive
I highly recommend it.,RESTAURANT#GENERAL,positive
I am going to the mid town location next.,,
The place is a lot of fun.,AMBIENCE#GENERAL,positive
My six year old loved it.,RESTAURANT#GENERAL,positive
The characters really make for an enjoyable experience.,AMBIENCE#GENERAL,positive
"The food however, is what one might expect.",FOOD#QUALITY,negative
It is very overpriced and not very tasty.,FOOD#QUALITY,negative
It is very overpriced and not very tasty.,FOOD#PRICES,negative
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",RESTAURANT#GENERAL,positive
We had a good time.,RESTAURANT#GENERAL,positive
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,SERVICE#GENERAL,negative
Service was slow had to wait to order and get food although not crowded.,SERVICE#GENERAL,negative
Drinks way over priced.,DRINKS#PRICES,negative
Food was good not great not worth the wait or another visit,FOOD#QUALITY,neutral
Food was good not great not worth the wait or another visit,RESTAURANT#GENERAL,negative
Great pizza for lunch place.,FOOD#QUALITY,positive
Service was quick.,SERVICE#GENERAL,positive
The pizza was great.,FOOD#QUALITY,positive
And it was quick which is very important.,SERVICE#GENERAL,positive
Have the iced tea.,DRINKS#QUALITY,positive
It was wonderful.,DRINKS#QUALITY,positive
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",FOOD#QUALITY,positive
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",SERVICE#GENERAL,positive
Delivery is fast too.,SERVICE#GENERAL,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",FOOD#QUALITY,positive
A little overpriced but worth it once you take a bite.,FOOD#PRICES,negative
A little overpriced but worth it once you take a bite.,FOOD#QUALITY,positive
"Growing up in NY, I have eaten my share of bagels.",,
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,FOOD#QUALITY,positive
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#QUALITY,positive
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#STYLE_OPTIONS,positive
They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#QUALITY,positive
They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#STYLE_OPTIONS,positive
The lox is always fresh too.,FOOD#QUALITY,positive
Highly recommended to all!,RESTAURANT#GENERAL,positive
I have to agree with the previous reviewer.,,
I don't get it either.,,
Not impressed with the food.,FOOD#QUALITY,negative
Prices too high for this cramped and unappealing resturant.,RESTAURANT#PRICES,negative
Prices too high for this cramped and unappealing resturant.,AMBIENCE#GENERAL,negative
Zero ambiance to boot.,AMBIENCE#GENERAL,negative
I thought this place was totally overrated.,RESTAURANT#GENERAL,negative
Everything we had was good or ok....but definitely nothing great.,RESTAURANT#GENERAL,neutral
"The ambience was nice, but service wasn't so great.",AMBIENCE#GENERAL,positive
"The ambience was nice, but service wasn't so great.",SERVICE#GENERAL,negative
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#GENERAL,negative
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#PRICES,negative
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,RESTAURANT#GENERAL,positive
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,FOOD#QUALITY,positive
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,AMBIENCE#GENERAL,positive
Thius is a must for anyone who loves Shabu-Shabu.,FOOD#QUALITY,positive
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",AMBIENCE#GENERAL,positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,AMBIENCE#GENERAL,positive
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,negative
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#QUALITY,positive
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,positive
I must give it Yon out of Yon stars!,RESTAURANT#GENERAL,positive
Taxan delicious!,FOOD#QUALITY,positive
Arigato Gozimas Yuka!,,
"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",RESTAURANT#GENERAL,positive
We weren't!,,
The prices were CHEAP compared to the quality of service and food.,RESTAURANT#PRICES,positive
The prices were CHEAP compared to the quality of service and food.,SERVICE#GENERAL,positive
The prices were CHEAP compared to the quality of service and food.,FOOD#QUALITY,positive
"We liked it so much, that we will always make it a point to dine here when we visit New York.",RESTAURANT#GENERAL,positive
Went there for an office lunch.,,
The location and ambience is Ok but the food is what makes up for it.,LOCATION#GENERAL,neutral
The location and ambience is Ok but the food is what makes up for it.,AMBIENCE#GENERAL,neutral
The location and ambience is Ok but the food is what makes up for it.,FOOD#QUALITY,positive
There is a lot of variety even for people who eat vegetarian like me.,FOOD#STYLE_OPTIONS,positive
Try green curry with vegetables.,FOOD#QUALITY,positive
"The quantity is also very good, you will come out satisfied.",FOOD#STYLE_OPTIONS,positive
"The service is ok, some of the people didn't get what they asked for.",SERVICE#GENERAL,neutral
I was there on sat. for my birthday and we had an excellent time.,RESTAURANT#GENERAL,positive
I had the best ravioli ever.,FOOD#QUALITY,positive
The wine the service was very good too.,DRINKS#QUALITY,positive
The wine the service was very good too.,SERVICE#GENERAL,positive
Moderate prices.,RESTAURANT#PRICES,neutral
A little noise but I think that was because of our party!,AMBIENCE#GENERAL,neutral
Molto bene!,,
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,AMBIENCE#GENERAL,positive
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,RESTAURANT#GENERAL,positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,positive
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",FOOD#QUALITY,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",SERVICE#GENERAL,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,negative
A guaranteeed delight!,RESTAURANT#GENERAL,positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#QUALITY,positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#QUALITY,positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#PRICES,positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#PRICES,positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive
Check out the secret back room.,AMBIENCE#GENERAL,positive
Old school meets New world.,,
I pray it stays open forever.,RESTAURANT#GENERAL,positive
Thank You Emilio.,RESTAURANT#GENERAL,positive
Ciao Bella,,
"I found the food, service and value exceptional everytime I have been there.",FOOD#QUALITY,positive
"I found the food, service and value exceptional everytime I have been there.",SERVICE#GENERAL,positive
"I found the food, service and value exceptional everytime I have been there.",RESTAURANT#PRICES,positive
The food was authentic.,FOOD#QUALITY,positive
I felt as though I were eating in Paris.,FOOD#QUALITY,positive
The service was excellent - friendly and attentive.,SERVICE#GENERAL,positive
The prices are wonderfully low.,RESTAURANT#PRICES,positive
Very good wine choices.,DRINKS#STYLE_OPTIONS,positive
I can't believe people complain about no cheese sticks?,,
Who has room for Cheesesticks with the best pizza in NYC!,FOOD#QUALITY,positive
Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,positive
Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,positive
Great staff.,SERVICE#GENERAL,positive
Always great service!,SERVICE#GENERAL,positive
I go twice a month!,RESTAURANT#GENERAL,positive
Fantastic!,RESTAURANT#GENERAL,positive
"The food is good, I can't lie.",FOOD#QUALITY,positive
But the staff was so horrible to us.,SERVICE#GENERAL,negative
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,negative
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,negative
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,SERVICE#GENERAL,negative
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",RESTAURANT#PRICES,negative
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",FOOD#QUALITY,positive
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",SERVICE#GENERAL,negative
Save yourself the time and trouble and skip this one!,RESTAURANT#GENERAL,negative
I'll keep this short.,,
Amma is nothing special.,RESTAURANT#GENERAL,neutral
The two star chefs left quite some time ago to open their own place.,,
I ate here a week ago and found most dishes average at best and too expensive.,FOOD#QUALITY,negative
I ate here a week ago and found most dishes average at best and too expensive.,FOOD#PRICES,negative
Will not be back.,RESTAURANT#GENERAL,negative
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,negative
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,positive
Decor is nice though service can be spotty.,AMBIENCE#GENERAL,positive
Decor is nice though service can be spotty.,SERVICE#GENERAL,negative
This place is always packed.,RESTAURANT#MISCELLANEOUS,neutral
I know because I live nearby.,,
"Most importantly, food is excellent.",FOOD#QUALITY,positive
Try the sea bass.,FOOD#QUALITY,positive
Highly recommended.,RESTAURANT#GENERAL,positive
First of all Dal Bukhara Rocks.,FOOD#QUALITY,positive
As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by.,,
but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,,
I am happy i did the food was awsome.,FOOD#QUALITY,positive
JUST AWSOME.,FOOD#QUALITY,positive
and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,positive
and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,positive
They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,,
but overall i give it a 10,RESTAURANT#GENERAL,positive
10,RESTAURANT#GENERAL,positive
I haven't been to the other locations.,,
Haru on Park S is simply disgusting.,RESTAURANT#GENERAL,negative
The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,negative
The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,negative
"Quite frankly, this is some of the worst sushi I have ever tried.",FOOD#QUALITY,negative
Will never be back.,RESTAURANT#GENERAL,negative
honestly the worst sushi my husband and i had in our entire lives.,FOOD#QUALITY,negative
"believe us, we've been eating sushi for over 15 yrs.",,
not sure why this restaurant would be rated that highly.,RESTAURANT#GENERAL,negative
the all-u-can-eat sushi is definitely in very poor quality.,FOOD#QUALITY,negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",FOOD#STYLE_OPTIONS,negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",FOOD#QUALITY,negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",FOOD#STYLE_OPTIONS,negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",FOOD#STYLE_OPTIONS,negative
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",FOOD#QUALITY,negative
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",FOOD#QUALITY,negative
the waitstaffs are nice though.,SERVICE#GENERAL,positive
wont come back again for sure!,RESTAURANT#GENERAL,negative
I have been to Roth's twice and both times were very disappointing.,RESTAURANT#GENERAL,negative
Once for dinner and once for brunch.,,
"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE#GENERAL,negative
They wouldnt even let me finish my glass of wine before offering another.,SERVICE#GENERAL,negative
Much of the time it seems like they do not care about you.,SERVICE#GENERAL,negative
"The dinner was ok, nothing I would have again.",FOOD#QUALITY,negative
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",FOOD#QUALITY,negative
This was a great surprise.,RESTAURANT#GENERAL,positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,FOOD#QUALITY,positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,AMBIENCE#GENERAL,positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,LOCATION#GENERAL,positive
The service was attentive.,SERVICE#GENERAL,positive
I look forward to eating here again,RESTAURANT#GENERAL,positive
Planet Thai is great!,RESTAURANT#GENERAL,positive
"We love the food, drinks, and atmosphere!",FOOD#QUALITY,positive
"We love the food, drinks, and atmosphere!",DRINKS#QUALITY,positive
"We love the food, drinks, and atmosphere!",AMBIENCE#GENERAL,positive
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",SERVICE#GENERAL,negative
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",RESTAURANT#GENERAL,positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",FOOD#QUALITY,positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",RESTAURANT#PRICES,positive
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",FOOD#STYLE_OPTIONS,positive
