ReviewTitle,ReviewBody,ReviewStar,Product
"After using for a month..
","CONS:-These earphones does not tell remaining battery till it is very low. A button should be there to know battery life.-After battery gets low they don't last more then 6 mins or so. Also voice assistant keeps shouting battery low. They become unusable.-More earbuds should be there. 3 sizes do not fit all.PROS:- Boat has best after sales support no other company comes close to them. Repair and replacements are completely hassle free. ""THIS IS WHY I PURCHASED THESE"".-Sound quality is good.-Build quality is good.-Water resistant-Battery lasts sufficiently long .
",3,boAt Rockerz 255
"Honest, unbiased review. Won't recommend buying this.
","I don't usually write reviews for products but I must do for this one to let people know about the issues I am facing. I will try to cover all aspects of these earphones in this review.*Reliability:*The earphones get disconnected after some time if you don't use it for like 3-4 hours. It's very frustrating since you have to start the earphones first before picking up the call. Also, when you pick up the call you don't know whether to use phone or earphones to speak since you don't know whether they are connected. Though a small issue, it's really frustrating, trust me.*Experience:*The earphones are pretty useful and give all kinds of signals (if you have plugged it in your ear) like connected, disconnected, battery low. But what is most frustrating is the battery low signal which is not just a beep, but a long sentence it says ""Oops, battery low"". This keeps on repeating every 30 seconds which really annoys me. If the battery is low, it should just beep if they have to. But every time bugging is not a good experience.Also, it takes a bit too long to power on and power off. You have to press the button for like 5-7 seconds.*Sound Quality:*The first song I listened to these earphones sounded really terrible with high bass. But it's not really bad if you are not into too much sound details.*Build Quality:*Build quality is really good. No issues with that.*Battery life*Satisfied with battery life. But it doesn't last that long as promised. But I am okay with that.
",2,boAt Rockerz 255
"Read so you can describe the product on yr own way.
","Pros :1)Product quality good,sound good .2)light weight3)battery time /playback time over all good4)connectivity averageCons:1)After 30 min yr ears feeling presure2)Good connectivy when phone is in range3)some times i feel the lil slage in connectivity while silenting music.4) Its Not a product for daily bike commuters due to low noice cancellation.Overall good product on bases of prices...
",3,boAt Rockerz 255
"Decent but...
","Honestly First bummer was packaging.It looks like it was already opened.The package got little torn.. tape looks off the place. Also, earphones inside also didn't looked like fresh packaging. It really looks like It was used before.but I could be wrong and it could be just bad packaging also.sound is good though , average loud, but not very good. Range is good i can easily use it while moving in my house. You will always feel some disturbance while playing.Also, I tried connecting with multiple devices but it can not be done while it's connected to other device. First, you gotta disconnect it then it can be connected.
",4,boAt Rockerz 255
"not awesome
","after 3 days of use I am writing this review.. I have got it at Rs. 999.001) battery life almost 5 hours of music.  not a problem for me.2) built up quality good.3) most importantly sound quality not awesome. may be good. if u like bass a great then good choice but vocal sound is seemed lower and sometimes not crystal clear. I have senheiser cx180 which costs rs.750. produces much crisp sound and bass.but overall at rs. 999 it is a good deal.
",4,boAt Rockerz 255
"Worth for 1000 or less, just to have a Bluetooth earphones feel
","Hello I bought this product in big sale going on , got it for 1099 which is good deal.Later on it was for 2.5k don't buy at this price waste of money.Sound n bass is awesomeBattery not sure yetSongs can't be changed using music keys and music key functions are uncertainMusic starts playing from phone suddenly after the callDouble tapping of play/stop button dials last caller, which is greatest con of this product
",2,boAt Rockerz 255
"Must buy wireless earphone.
","I have already used boat earphone and was quite satisfied with the performance interms of sound and bass, however I didn't expect that much this boat rockers 255 is tremendously performing great sound, clearance, noice cancellation bass will never gonna feel you headache and all if I talk about battery it works 7 Hours a day continuesly...well fitted in ear without any pain got this deal at lightning price at 999.Thanks Amazon to provide such deal and swift delivery and your faith!!!
",4,boAt Rockerz 255
"Heard up while charging and damaged the headset
","Good for a few weeks. After that the battery heated up drastically, and melted the rubber buttons. I luckily stopped charging in time, else may have even caught fire. Now the buttons are fused and the product can't be used.Hope Amazon will promptly replace the defective product.
",1,boAt Rockerz 255
"They Rockzz!!
","Amazon packaging : Not up to the mark, only comes in a plastic ploybag which is the outer bag, no internal protection per se!Durability : looks sturdy, package also says sweat resistant, only delicate part is the charging port flap :PSound : it rockss!! Bass as well as treblesOne good thing is it wont let you increase the sound beyond a threshold via headphones ( u can do it from phone :P)Noice cancellation is awesome.Felt slightly more protruding, needs to be inserted deep into ear👂 otherwise chances of falling down ( not on the ground btw)Package contains : charging cable 10-15 cm long, 2 pairs of buds of different sizes, warranty card + manualColour : red + black matt finish.Its post delivery feedback so no idea of battery backup, charging, sweat proof. (Will add later)
",4,boAt Rockerz 255
"Best bt earphone under 1.5k
","I’ve been lately using a lot of products from boat !This product was on offer so thought of ordering the same.I was using base heads 225 beforeWhen compared directly to them this earphone is not that great in terms of base but !!!! The earphone is wireless which takes away all the things !It’s quiet light weight ! And the price is just awesome for the same. The earphone is very easy to connect and it’s quiet reliable too! One can wear whole day and won’t even feel them. The sound quality is more over on the base side. If you are someone who love good base then this is for you !Do give it a try and this product won’t disappoint you !The service of boat is way ahead then other brands
",5,boAt Rockerz 255
"Excellent Sound Quality...Value for Money!
","Writing this review after using boAt 225 wireless headset and JBK t160BT...I must say that boAt has got excellent bass and sound quality compared to JBL one.Superb sound quality and built. Very comfortable in ears. Value for Money!!!
",5,boAt Rockerz 255
"Feeling good as I got it free with huawei Y9 phone
","Dear All,Let me write the genuine review of this product.The product was delivered on time,Guys, I am using this product since 2 last month and I have discovered an excellent product.The product is much better as compare to other costly international brands.Likes :* Excellent bass* Noise cancellation support* Value for moneyDislikes:* I expect more form the local brand in terms of quality of material used e.g. plastic quality and packaging box.Overall suggestion you buy with this price..!
",4,boAt Rockerz 255
"Mind boggling product!! 😎
","I can't get enough of this earphones.. Sound qulity is so clear in highs and lows.. Battery life is more than expected from a bluetooth earphone.. It is showing more than 1 day battery life. And the quality of the material used is so nice... I am happier than expected.. And thank you amazon for fast delivery.
",5,boAt Rockerz 255
"One of the best bluetooth headphones in this price range
","I purchased it one month back after comparing it with so many products. But to my surprise noice cancellation , bass and sound quality of the product is just amazing. Even compared with JBL LIVE200BT which costs around 4200 , this headphone is far better than JBL one.just go for it if you want to have a good wireless headphones in this price range.Only Con i came across is the battery indicator is not working properly it suddenly jumps from 40 percent to low battery but actual battery life is as claimed around 6-7 hours
",4,boAt Rockerz 255
"First impression - Best
","Just unpacked and pairing was very easy. I was able to pair this to my OnePlus 5T and Laptop. After pairing my phone first, I switched off the bluetooh in phone and paired with my PC. Then switched on the bluetooth in phone. Played music from PC and when I received a call in my phone, the headset goes silent and the music automatically pauses. Exactly the way I wanted. However, one drawback is that when the phone call ends, the music doesnt resume automatically.Sound Quality is good.Good bass.Comfortable to wear
",5,boAt Rockerz 255
"DO NOT BUY
","Would have used hardly for 5 to 8 hours since I got this product and it does not charge now. Return window already crossed and a total loss for me. Amazon stop selling such substandard products plz.
",1,boAt Rockerz 255
"Only Replacement item no refund
","This is a good quality ear phones with durable wire. But the wire is very hard not so flexiable and big compared with other earphones. This doesn’t fit to a pocket for sure. It has a magnetic base which combines two sides when not in use. The major thing is that this ear phones once bought cannot be returned only replacement option is available in amazon which is quite disappointing
",3,boAt Rockerz 255
"The Beast in this Price Segment
","Just purchase it with your eyes closed man. In 1500 bucks no-one will ever give you such a Bass and good audio quality WIRELESS BLUETOOTH Earphone. Just don't think so much.I don't know about the lasting of the product but feeling the build it seems very premium. This is my first day usage review.===≠====≠===Writing after 5 months of usingOne of earbud stopped working without any reason today.Pathetic product I must say now
",1,boAt Rockerz 255
"Not at all a good one
","Dont go for this product. I have seen the reviews and purchased it but to my surprise, the ear phones are very bad at producing the decent bass,instead the bass is too heavy that even a bass head like me does not find it good. Too heavy to use it for longer times, u might end up hurting ur ears.
",1,boAt Rockerz 255
"It's a piece of Garbage
","Let me tell you that don't buy this. Yes it's true that it's the best product you can get for the price (I doubt that) but definitely it's not the best product YOU should buy.Problems faced:1. Battery is pathetic. Mostly gives 3 hours of playtime2. The earphones get disconnected if you even go to the next room3. Sound is too low. I have to use 3rd party Equalizer to listen clearly4. The bass is also not good. Have to rely on the 3rd party appsThe only thing is Boat has a very good warranty service but the problems with the device make it a garbage af
",1,boAt Rockerz 255
"Value for money earphones, if under 1500.
","This is a good buy. Sits comfortably around the neck, earpiece is good, and feels sturdy.Noise cancellation is surprisingly good at this price range (during phone calls person on the other end hears very less background noise.)Sound quality - good with Android. With iPhone the sound tends to get crackling at high volumes when equaliser is on. No complains on flat sound.Wires are a bit long, but you get used to it after a while.My only issue with this and other BT earphones in this price bracket is with the voice breaking. If I keep my phone in my pocket (jeans) and walk the audio starts to break and I have to reposition the neckband. This has happened quite a number of times. I used to own a Tagg inferno and MiVi thunderbeats, both had this issue and this one too.To summarise, worth buying, if under 1500.
",5,boAt Rockerz 255
"Best in the budget
","I am really glad of having this product. The previous one from boat was boat rockerz 400 whose sound quality with bass was just fabulous but call quality dissapointed me but this one really is excellent... I think i made the right choice of having this great product. Really awsome product with best call quality , best durability, an excellent sound quality and a decent battery backup. What else one need from a product ranging around 1-1.5 k.. Really i just loved it
",5,boAt Rockerz 255
"Not working as expected
","Product received on time there is no issue.  Sharing my experience here for you to decide before you go for this product only.During calls suddenly it goes blank.There is no noise cancellation or its not working properly.  Always people on call ask me ""are you outside, we are getting so many noise""I have ordered replacement, after 15 days i received serviced item (may be before that someone used and returned to boat), Same issue persist but now I don't know what to do... and I am not using this for important office calls.  Just using for hearing music & watching movies.  Replacement process is good, they only come and collect your product and return using courier, if you raise ticket online.  Problem rectified or not that's matter.Overall my suggestion / experience I could say ""Don't go for this product if you really want to use it for official purpose""
",2,boAt Rockerz 255
"Very basic wireless headphones
","Got these in sale and very disappointed. I had earlier JBL wireless headphones and they were of very good quality then I lost them. Saw ad of these wireless headphones in newspaper and decided to buy as I already use Boat 400 which are awesome but I got disappointed with these, I have to speak very loudly in order for my voice to reach the other party (which looks very weird in public) and I feel that quality is also not upto the mark. Amazon I feel knew about this and thats why these were on sale and non returnable.I am now stuck with them and I DO NOT recommend that you buy these at all.Thanks.
",2,boAt Rockerz 255
"Don't buy
","Just one month nd gone. Product sucks. Please don't buy. Not finding at service centres as well.
",1,boAt Rockerz 255
"Good not very good
","It's been a month, I'm using these earphones.The product is good, still I would say for this price it could have been better.It's solid & has very good sound quality.Easy to carry & smart looking but it sometimes takes a lot of time to connect with my phone & the part of it which holds it into the ear got loose already & it got out of ear a few times.. on the charging point of view it work pretty well.. 30 mnts charging is enough more than 3-4 hours continues use. All & all it's good but a lil expensive.
",3,boAt Rockerz 255
"Good value for money.
","<Pros>* Rich bass* Good built quality* Magnetic lock* Nice grip over neck*Good company service (had to replace it because of faulty charging)<Cons/>*Dont leave the charging cap open because sweat can get in through it and damage the charging...*Detailed review*Boat Rockerz 255 bluetooth in-ear headset is a very good quality product. It has a very rich bass and nooce cancellation is also pretty good. Accessories like ear buds of different sizes and charging cable are provided. If you workout and sweat alot then make sure to keep tha charging cap closed because if sweat goes through it then it may damage the charging, the charging stopped working after 2 weeks so i had to replace it..and the company service was amazing it took around 10 days and then i got a replaced piece back with extra accessories..*Conclusion*I would really recomend this, this headset provide a very good value for money.PS- Just dont walk while using it..because the noice cancellation will not let u hear anything else and it may cause an accident..
",4,boAt Rockerz 255
"Value for Money, for Bass lovers. Good connectivity.
","I love these Earphones.My battery lasted from morning 6:40 am to 11pm where it was continuously connected to my smartphone. I used it for calls and for1 hour for music in this time period.There's a lot of Bass. This can be levelled with your smart phone's inbuilt equalizer, but it will be a pain if you are using multiple music players or video players.The build quality is good w.r.t. the price. I bought it for Rs. 1399/-.Bluetooth pairing is very fast. No hazzles.It can be used for all activities but not voice recording. So if anyone is looking out for recording audio with this device then this is not at all what you are looking for.
",4,boAt Rockerz 255
"Really a good product(Above worth to purchase )
","These are of really good built quality(premium quality) except rubber holders and provides smooth sound quality and bass(condition is to use proper ear bud) , happy with the purchase as I used some other brand such as JBL,  skullcandy, house of Marley. It is standing with those brands .The bluetooth gets connected very easily, and u also get a 1 year insurance card for your product which gives an enhancement for trusthappy with the productPros:Good built qualityGood sound & bassEasy connectivityPerfectly fitsGood for our doorCons:I found it some what uneasy while in use (might be because of gripper I never used )*Note examples I gave for JBL and .... are for sound quality that I really consider at this point of price
",5,boAt Rockerz 255
"Wow..!!!!!
","This is a great product. Comes in a nice box and it fits perfect in ears. The sound quality is also very nice. I tested it with couple of different songs and it is too good. I was waiting to buy it and to my luck it came on sale for 999 which is a steal price!!!!!.... I am super happy with this product... I am not sure if price will be available as the normal sale price i saw was 1900+ which I guess might be little expensive but I got it for the real deal so happy happy. 😇
",5,boAt Rockerz 255
"Sound quality is not good, over bassed
","I brought this one, after using boAt Nirvanaa Uno. Uno had good quality stereo with nice bass. This is sounds like a mono headset. I think bass is too much or not set correctly. It sounds differently on Mobile  and PC. I am not satisfied with the sound output. It connects to both PC and Mobile same time, so attending mobile call and Skype call with no hassle. For Rs. 1990 there are better quality available. I trusted boAt based on my previous purchase with UNO.
",3,boAt Rockerz 255
"Good one but not great !
","Eventhough it connects two divices at the same time, however audio doesn't switch to the first device connected.  While playing the audio from the first device connected, it doesn't work. Only it works for last device connected. We need to reconnect the previous device to get it works.Not sure manufacturing defect or functionality limitation.  Atleast it works flawlessly for other bluetooth headset like Jabra.ANyway it's light weight and sound quality is better than many other product of same price range
",4,boAt Rockerz 255
"Good buy at an affordable price
","I was looking for a pair of bluetooth earphones to use during my gym workouts and I found these for Rs. 999 during a sale event. Here's my review after 1 week of using this product -Pros:1) Excellent bass quality. You'll love these earphones if you are a bass lover.2) The earphones are lightweight and the magnetic tip makes it easy to carry around neck. I find them really convenient to use at the gym3) Good noise cancellation & sweat resistant.Cons:Battery life - boAt claims a battery life of 6 hours but these run out much before that. It shuts down even though my phone displays 20% battery leftEar pain - The ear buds are not the most comfortable pair you can find. My ears start hurting after prolonged usageMic - The voice quality is not that great and not preferred for taking calls.Overall it's a good buy for the price range.
",4,boAt Rockerz 255
"The “Boat” experience !!
","I feel they are the best in the business. They have come out with exceptional quality, awesome product at the exact right price point. Awesome accoustic experience is what Boat provides and i would go so far to say that they are the Bose of their price point. I have been using Boat rockerz 250 in the past and those lasted well over 3 years while delivering exceptional music experience throughout. The battery started to give way after 2 yrs but that is expected of all these products. The 255 have better sound quality in terms of bass, accoustic, treble if compared to the 250.The wire is a bit too long for my liking but that’s probably cause i had gotten used to the short wire of the 250.I am sure these will again last me well over 2 years. My brother didn’t listen to me and bought noise shotz and he is regretting his decision now. Poor sound quality, battery quality, connection issues are some of the issues with the noise shotz.Everyone should give them a try once.I had skullcandy before and they were replaced by the company 4 times in the first year while the warranty was active and i had to throw them away after the warranty expired as the 5th piece also malfunctioned. The Boat experience though has been an awesome soundblowing experience.
",5,boAt Rockerz 255
"Great headset and sturdy build
","Great headset for music lovers. Solid bass, loud volumes and volume control separate for the headset in addition to mobile volume control which is a huge plus. Good sound quality on audio calls. Did not try while jogging, so unabl to review the moisture wicking properties much. Good length to the earphone cable and good battery life. I purchased it for 949 INR and h nice good VFM. Overall I would buy again.Design wise, I like the Boult wireless better than this as the wire tends to hang long down your neck when you are not using the earphones  Otherwise a great product to buy!
",5,boAt Rockerz 255
"FEEDBACK
","my  ear is goes out of order ,i am placing on line complaint but  does not go through,pls replace it or suggest me what to do . this time i am in pune(Maharashtra) and my contact mobile no is 9811917164,will give all star rating only after getting feed back from the co.
",3,boAt Rockerz 255
"Setting Your Expectations Right
","At Rs.1499, there are few areas that boAt delivers and largely others where it doesn't. Noise cancellation and bass are it's highlights while you might have to compromise with the poor build quality, sub-par sound clarity and battery life.With 1 week's experience and daily usage I have come to find:1. The battery doesn't support more than 3-4 hours of playtime, even at 70% volume.2. Great bass which might sometimes overshadow the mid and high tones.3. One of the earbuds has stopped working for which I have ordered a replacement and will post an update on the same.@Amazon/Appario: Excellent all-round experience from order placement to delivery to replacement initiation.
",3,boAt Rockerz 255
"Good but not the best!
","I bought this after searching many Bluetooth wireless earphones.Here is my review after using this product for one week with my OnePlus 6T.Pros-Battery life is good compared to other earphones.-Bass is good-Light weight even u can't feel it's around your neck-Noice cancellation is awesomeCons-Faced some issues in connectivity when mobile is in my trouser pockets(When holding mobile in hand,no issues at all)-Running with mobile in trousers also shows some interruption in hearing-Sometimes I hear unwanted noice (I think there is compatibility issues with OnePlus 6T and other devices too)-Battery charge is always showing 100% in 6T-Bass is good but I feel too noisy-The voice on connection and disconnection is weirdIf you are looking for wireless earphones under 1500,it is the best among the all! You can't get all the best features in this price range. So go for it!
",4,boAt Rockerz 255
"Not at all suitable for running, long run when you sweet it easily enters inside
","For the first month it was good. But from the starting i was having blue tooth connectivity issue. It was not even having good connection within 5metres. Then within 30 days due to sweating it completely stopped working. I am still searching for the right wireless ear phone which can be used for long run, marathon and resist sweating.Very poor customer care service. I returned the product and have to wait for 3 week for dispatching a new one. Still on 4th week no shipment done.
",1,boAt Rockerz 255
"Good bass, Value for money, Magnet feature is good
","On time delivery and product is good.. the bass wasn't feeling great initially but after changing the in-ear buds with the bigger ones provided in the packing the sound was significantly better with better bass and treble. Easily connected to my mobile phone, Smart TV, and laptop. I got it on 26th October, today is 30th.. I have not had to charge it at all so far.. i use it for a couple of hours everyday.. so battery life also seems decent.It's good value for money. Would surely recommend.
",5,boAt Rockerz 255
"Good sound, bad ear plug holders
","Everything is very good about this product. Great sound, I love it. However, if I I hadn't lost those ear plugs and their hooks that help u stick them in ur ear I would have given it a 5 star. They gave extra ear plugs but not those hooks that hold on to the crevices of ur ear to help u enjoy the bass. I can't find them separately on Amazon either. It would be great if Boat could include those in the package.
",3,boAt Rockerz 255
"Very good earphone of this cost.
","Sound quality is good. Bass is wonderful. Better life is awesome. There is no connecting issues. Before order I am very much doubtful about the performance of this earfone, because of reading some reviews in Amazon. But when I used this, I am very much satisfied. Amazon shipping is always good and prompt.
",4,boAt Rockerz 255
"A budget all-rounder by boAt
","I have been using boAt wireless headphones since two years they have never disappointed me.This is my 3rs boat wireless headphones but i must say this one impressed me alot according to the price segment (Rs 999),it's doing a perfect job of delivering good quality of sound.Regarding the battery life its is 6hrs, but its quite Ok since i have purchased it for 999rs only i can't expect much from it.Coming to sound quality it has a bit more bass, the bass is more than treble but not a problem for those who love high bass.Overall sound quality is more than good in this price segment.The build quality is not that high quality but yes it is sturdy enough to withstand normal drops.Acording to me the length of cord is too lengthy.One thing i dint like about boaAt is connectivity range, the range of connectivity for this is less than 10m,but again budget matters. Given a thought i had paid only 999rs,i am very much satisfied with overall performanceRegarding service center, the customers leaving in Mumbai has added advantage as i had.My previous boat rockerz 275 one earpieces suddenly stopped so i visited the service center in Goregaon and they replaced my headphones with new in just 5 minutes without any questions asked.So customers in Mumbai don't worry about the warranty.
",4,boAt Rockerz 255
"Feeling bad buying this.
","Sound quality isn't that good. Not worth the cost. Durability, well it comes with a plastic construction, that you need to wear around neck. So can't fit it in anything.Feeling bad buying this product considering the image doesn't clarify the plastic ring around the neck. Oh yes one more thing Ear piece has rubber hook on it but design is so bad that you can't get it in ears properly.
",2,boAt Rockerz 255
"Perfect for music
","The product design is really good, comfortable, lightweight. The color combination is perfect for the unisex collection. I picked a red and black combination. The noise cancellation for the call is good but not up to the mark. The biggest drawback I felt was I could not connect to my laptop via Bluetooth plus you cannot take calls from the headset. the buttons are to control the volume and play and pause the call.
",4,boAt Rockerz 255
"Awesome sound quality but....
","Everything is good, sound quality is awesome, look wise also decent but.....But battery life is bad, if you consider it for using a whole day battery may end up just before your day ends. Backup of 6-7 hours is not enough for a whole day use. If you want something with good battery life jabra elite 25e is what you are looking for but something with good sound quality this is what you are looking for but if you want both this thing in one, then sorry there is no such thing available i have searched and watched each and every earphones review but this technology seems to be failing you can even see that very few wireless mouse and keyboard have good ratings.
",3,boAt Rockerz 255
"Value for Money
","These some of the most worthy BT Headphones in its price.Pros:1. Good Bass2. Flexible3. Easy to Connect and Control4. Decent Battery Life (6-8 hours)Cons:1. Loose Ear Grip2. A bit too Lightweight3. Flimsy4. Doesn't have any indciation for battery life
",4,boAt Rockerz 255
"Nice and perfect.. Go for it
","Just got the product..Amazon didn't say anything about carry pouch..in the box it's written pouch inside but no pouch inside..Build quality is superb as expected from boAt..Connectivity is simple.. bluetooth range is nice..it has a nice neck band..Now coming to the performance..If u r a music lover go for it..everything is great.bass is excellent..music is awesome..coming to call quality again it's awesome..didn't check battery life yet..
",5,boAt Rockerz 255
"Great great product.. simply the best
","Best headphones I have ever bought and I have tested quite a lot of them from a lot different brands n price range.. this one simply knocks all of them out of the field in terms of sound quality, bass, loudness and battery life.. Go for it without any hesitation and you won't regret your decision!And ya they stay in your ear n create a sound isolation too... Good for running too!
",5,boAt Rockerz 255
"A decent and functional product with sooper bass
","Mid range is poor. The finer sounds are not extracted.The product is extremely light and u won't feel it's there. This is an awesome feel. Sooper bass and crystal clear pitch. Bluetooth connectivity is remarkable. I received it yesterday and played for 3. 5 hours without and drop in performance. Seems sturdy. Yes, while listening to audio from Gaana, was getting a 3D feel, as if am sitting midst of a concert.
",4,boAt Rockerz 255
"Excellent product
","Boat is awesome if you like to hear bass's and quality.I am using one plus 6 and quite satisfied with boat. In case of audio controlsDouble tap + button to increase volume & single tap for change next track.Double tap - button to decrease volume & single tap to previous track.Double tap o or middle button to dial last call, single tap 2 seconds for Google assistant, single tap immediate to play or pause music, single tap long press to on or off boat rocker or Bluetooth connectivity.If u charge daily 20 minutes it's enough for long day continues music.Overall Good product.
",4,boAt Rockerz 255
"Good deal for the price offered
","For the price it is offered I would recommend this . Noise cancellation is surprisingly good . Sound quality is also impressive but not the greatest for sure . Bass effect is more . Fit the ear perfectly and doesn't come off . Wire and exteriors are made of plastic but serves the primary purpose . Bluetooth slightly deteriorates when you keep the phone and move to another room with too many walls obstructing . But overall is a good deal . Battery lasts upto 6 hours .
",4,boAt Rockerz 255
"very bad for calling,gaming and battery backup is around 2 hours
","Sound quality is good for music only... battery :  working only for 2:00-2:30 hours maxMic: very bad everyone complaining that your voice is not coming proper.when you're doing video calling voice is not in sync..its come bit letter 1-2 seconds..and same thing happen when you sre playing game..PUBG😀😀  . I am returning this.Product is not as per expectations...
",2,boAt Rockerz 255
"SuperDuperAwesome
","Value for money . I bought it for 999₹ in lightening deal.Bass is fantastic feels like home theatre sound.Sound quality as expected, was looking for something to atleast reach my iphones earphones .. and this is exact what I wanted.Noise cancellation is superb.Light weight. Look wise Porsche, rich look.Easy access. Siri to working with this hps.Ear bud magnet it very nice.In love with this product , planning to order 1 more for my sister.
",5,boAt Rockerz 255
"Waste of Money Stopped working in just 20days
","Product STOPPED working in just 20 days useless even the 10 day return policy is over now no refund & waste of my hard earned money
",1,boAt Rockerz 255
"Great headset for its prize & sound quality, But too lengthy!
","This is a good bluetooth headset for its process, sound quality is great and I recommend this for Bass lovers!Bluetooth coverage is pretty good but average!The only thing that that I hate in this is the LENGTH, when I put them it comes till below my chest, irritating while washing face etcSamsung Level U design is much more greater!Only that, apart for that this is a great one!I got it for Rs 999/- in Amazon Summer Sale early as I’m a prime member
",4,boAt Rockerz 255
"Value for money
","Got this for 1399 during lighting sale.. it is worth for what u paid.. don't expect toooooo much performance.. it is value for money that's it.. yesterday afternoon I have received this product. That time battery was 100%. It is always connected with my phone.. after using of nearly 12 hours (only connected with phone. I am not using for audio & video purpose. Approximately I have used 2 hours for audio and video purpose) now it's battery is 60%.. it is okay product
",4,boAt Rockerz 255
"Good product, customer care/service questionable
","I've been using it on runs for the last month and haven't had any issues. Lately however, the earphones have stopped charging, the LED doesn't work and the earphones heat up substantially when I try to charge it.I have tried to register the product and a complaint on the vendor's website but always receive an error. I've tried calling them but the always receive a 'network busy' error. I have emailed them and awaiting a reply.Overall a really good product but if one can't get the product to work during the warranty period, there's no point in buying it.
",2,boAt Rockerz 255
"Honest review of the product....!!
","It's been 5 days only that I have bought this product....Cons:-10m bluetooth connectivity is a myth, it only supports upto 3-5 m.-wires are not quite durable or thick.-Bass is lower than average.-not durable for long run-ears starts to pain after a use of 30min.Pros:-gets charged quickly.-light weight-gets connected quickly,no problem in connection.So, for me this product is lower than average.Now it's up to you,so think twice before buying thus product.
",2,boAt Rockerz 255
"A very bassy earphones
","This is a very convenient and easy to use earphones. I had no issues with connectivity or battery as they are both good and reliable. The sound leans heavily on the bass side of things. For bass heads who like loud earphones, this is perfect. For people who want a more neutral sounding earphones, look elsewhere
",5,boAt Rockerz 255
"Worth & do go for it when needed.
","W/L earphone in 1-1.5K price range. Handle carefully for 1st 1 week to understand different feature capability. Had many -ve reviews on Amazon but I still opted for it. Incidentally all is well till now after 1 month use. Little problem in call/audio management but that's not a major issue. Same feature of JBL is on higher price rande (4K) so not bad this one.
",3,boAt Rockerz 255
"Awesome sound quality.
","Awesome sound quality this product is really fantastic if you want to buy bluetooth headset under  2000 rupees this is the best option I would suggest really enjoy listening music through this Bluetooth headset and voice quality is awesome during calling good battery backup and prices also usually.Thank you so much boat and thank you so much for reading my review.
",5,boAt Rockerz 255
"Epic experience for Bassheads
","Never used a boAt product before this one, but boy was i impressed by the quality of this thing....BASS 9/10Mids 9/10highs 8/10Battery performance  9-10 hours on full charge (also has a feature where 10 mins of charge will give you 35mins worth of battery)...BT range 7-10m depending upon obstacles between this and the phonecomfort 8/10 ....(those plasticy(silicone actually) things protruding from the might feel a bit uncomfortable at first)cons: 1) has a irritating indicator for low battery which i presume goes off about 4-5 times....at 10% first then every drop in percentage after 5% will have you hearing ""oops battery is getting low"" or a similar message  2) The charging port is concealed in an awkard way...although its durable but the cover is kinda obtrusive  3) i recommend not using a power/fast/turbo charger (or whatever they call it these days) if you want to see them live longer than a month.....110mAH battery Li-On battery would def not like that [i charge mine using my laptop USB port.....sometimes i have charged it using my phone too 3% drain for a full charge EPIC for travelling]i have used many wired earphones before this so having a comparison between them seems stupid but it does well in competing with the sennheiser cx 180, jbl C200Si and it even outperforms the sony MDR-Ex150ap in terms of sound quality...also getting it around for 1400 seems like the best price ...anything higher and i would save up for sumtin elsetl;dr if this fits your budget then go for it without thinking
",5,boAt Rockerz 255
"Good Quality and value for the money
","Fast delivery by Amazon. Just 2 days. Item received just today.First impression is soo well and i feel its worth the amount i paid for this item. The bass is good. It fits in the ears properly.Only i found a very little negativity is that the length of the cable. It just pops out of my shirt/Tshirt, feels little uncomfortable. Else everything is perfect with this product. 4.5/5
",5,boAt Rockerz 255
"Think twice before buying!!!
","I also own a Bose premium headphones which I think I cannot wear everyday to gym, so I bought this product for my day to day workouts. Comparing it with Bose, sound is not that crisp but for a Bluetooth earphone under 2k it worth it. I really like the beats and sound is pretty awesome too.Full marks for that, but I find it pretty annoying while working out in gym. There is a U shaped clip at the end of which two wires are attached which connects to earphones. The sturdy clip has to hang round your neck all the time. If you are running, the clip might start rotating and that would slowly force one of the earbud come of your ear. Pretty annoying...believe me, you have to turn the clip time and again to hang it around your neck in correct position. Also, while doing ab crunches it will keep on falling back and take both the earbuds along with it.I was mislead with the pictures, I thought it is all wire and no clip but its not. Just wanted to point this out so you dont make the same mistake ;)But if you are not into too much workout and want it for travel, then connection range and awesome beats is great deal.Cheers.
",3,boAt Rockerz 255
"I will review it honestly for who all are reading this review
","I read many good and bad reviews for this product and I brought it now I will review it honestly for who all are reading this review1.My product box is fully damage and reworked the box it's like some one used it but the product is fine.2.The sound clarity is good only for music with extraordinary bass in it but not for movie and YouTube videos.3.Noise cancellation is not good at all it's waste I still here background noise4.Not a great fit for workout session because due to sweat it's run out of ear and the magnetic lock is not locking perfectly when we unplugged in ear5.its has a good battery life like there said solidly 5:30-6 hrs and it's charge time is 1:30hrsThat's it everything I about this earphones.
",3,boAt Rockerz 255
"Deceiving pricing! Stay alert
","I bought this product after a long wait for drop in price for 1500 finally but just after few days of buying it for 1500, the price further dropped to 999! Really unhappy about having to spend 500 extra! Quality wise they're good but not exceptional. Also the eartips hooks are smaller than other branded earphones so not interchangeable with other earphones! I find it very inconvenient because my Sennheiser earphones have much better quality tips which I cannot fit on these as they fit lose.
",1,boAt Rockerz 255
